Company Name,Founded,Industry,Job Description,Job Function,Job Title,Location,Rating,Revenue,Salary Estimate,Sector,Size,Type of ownership
Olive,2012,Enterprise Software & Network Solutions,"Olive is healthcare's A.I. workforce and has been successfully deployed at health systems across the country. Olive automates work to allow healthcare professionals to concentrate on what's most important, their patients. Olive's promise to her customers is that she figures out where she can have an impact, onboards quickly, shows up for work everyday, does her job extremely well, and gets smarter over time.
Olive is made possible by a technology platform which allows her to understand the data emanating from the work that she does and to use that data to get smarter over time. Data Engineers work with the Olive Product Management team to deliver features that allow Olive to store and process large amounts of data. They also work on developing new tools that allow our Omega teams gain insight into the work Olive is doing and deliver ever increasing value back to our customers. Our team gives Data Engineers the ability to own independent small-to-medium features all the way from technical design to launch. A successful Data Engineer will possess strong analytical as well as technical skills, and have the ability to communicate the logic behind technical decisions to non-technical stakeholders",Data Engineer,Data Engineer,"Columbus, OH",4.1,Unknown / Non-Applicable,$48K - $91K (Glassdoor est.),Information Technology,501 to 1000 Employees,Company - Private
"Maine Molecular Quality Controls, Inc",-1,-1,"23 Mill Brook Road
Saco, Maine 04072
Fax: 207-885-1079 www.mmqci.com
MAINE MOLECULAR QUALITY CONTROLS, INC. is HIRING!!
R & D Scientist I – MOLECULAR DIAGNOSTICS
Maine Molecular Quality Controls, Inc. (MMQCI) designs, develops, manufactures, and markets unique quality control products used by hospital laboratories to monitor the accuracy of tests for inherited disease, pharmacogenetics, oncology, and infectious diseases. MMQCI also provides custom products to IVD manufacturers for test development, internal QC and kit controls. MMQCI has developed technologies to stabilize DNA and RNA for use as quality controls and continues to pursue the discovery of novel techniques useful for the development of new quality control products. We are a small, growing company that offers a relaxed but challenging work environment with opportunities to gain experience using the latest molecular biology tools.",Research Engineer,R&D Scientist I _ Molecular Diagnostics,"Saco, ME",1.0,$1 to $5 million (USD),-1,-1,1 to 50 Employees,Company - Private
Mozilla Corporation,2005,Computer Hardware & Software,"Team:
Data Organization
Locations:
Remote Canada, Remote US

Now more than ever, the Internet is a utility that facilitates modern life. At Mozilla, we take this to heart, striving to build products that keep the Internet open, accessible, and secure for everyone. We collect terabytes of data every day from millions of users to guide our decision-making processes. We need your help to enable the future of Mozilla in a way that makes us proud!

As a Senior Data Scientist within the Data Org, you will work as part of a cross-functional team that is responsible for understanding and empowering Mozilla’s financial health.

The Role

The Revenue Data Science team sits at the intersection of finance, business, operations, product, engineering, and leadership. We collaborate closely with these partners to provide meaningful insights.

As a Data Scientist at Mozilla you will:
Your Professional Profile
About Mozilla

Mozilla exists to build the Internet as a public resource accessible to all because we believe that open and free is better than closed and controlled. When you work at Mozilla, you give yourself a chance to make a difference in the lives of Web users everywhere. And you give us a chance to make a difference in your life every single day. Join us to work on the Web as the platform and help create more opportunity and innovation for everyone online.

Commitment to diversity, equity, inclusion, and belonging

Mozilla understands that valuing diverse creative practices and forms of knowledge are crucial to and enrich the company’s core mission. We encourage applications from everyone, including members of all equity-seeking communities, such as (but certainly not limited to) women, racialized and Indigenous persons, persons with disabilities, and persons of all sexual orientations and gender identities and expressions.

We will ensure that qualified individuals with disabilities are provided reasonable accommodations to participate in the job application or interview process, to perform essential job functions, and to receive other benefits and privileges of employment, as appropriate. Please contact us at recruiting@mozilla.com to request an accommodation.

We are an equal opportunity employer. We do not discriminate on the basis of race (including hairstyle and texture), religion (including religious grooming and dress practices), gender, gender identity, gender expression, color, national origin, pregnancy, ancestry, domestic partner status, disability, sexual orientation, age, genetic predisposition, medical condition, marital status, citizenship status, military or veteran status, or any other basis covered by applicable laws. Mozilla will not tolerate discrimination or harassment based on any of these characteristics or any other unlawful behavior, conduct, or purpose.

Group: D

#LI-REMOTE",Data Scientist,Inference Data Scientist,Remote,3.5,$100 to $500 million (USD),-1,Information Technology,501 to 1000 Employees,Company - Private
"Vizient, Inc.",1977,Health Care Services & Hospitals,"When you’re the best, we’re the best. We instill an environment where employees feel engaged, satisfied and able to contribute their unique skills and talents. We provide extensive opportunities for personal and professional development, building both employee competence and organizational capability to fuel exceptional performance now and in the future.
Summary:
In this role, you will conduct sophisticated data analysis to help address critical business and member questions, the outputs of which enable members to drive improvements in clinical, operational, and economic outcomes.
Responsibilities:
Provide analysis to identify critical issues/questions around member performance.",Data Scientist,Health Care Data Scientist,"Chicago, IL",4.2,$500 million to $1 billion (USD),$94K - $155K (Glassdoor est.),Health Care,1001 to 5000 Employees,Company - Private
Unum,1848,Insurance Carriers,"Job Posting End Date: April 20
Unum is a company of people serving people. As one of the world's leading employee benefits providers and a Fortune 500 company, Unum's financial protection benefits help protect more than 36 million working people and their families from the financial impact of illness or injury. Unum's three distinct, but similarly focused US businesses – Unum US, Colonial Life, and Starmount Life – are each a market leader in making disability, life, accident, critical illness, dental, and vision insurance accessible in the workplace.
Headquartered in Chattanooga, Tennessee, Unum also has significant US operations in Portland, Maine, - and over 35 field offices nationwide. Colonial Life is headquartered in Columbia, South Carolina with over 40 field offices nationwide. Starmount Life is based in Baton Rouge, Louisiana, and is the dental and vision center of excellence for Unum in the US.
General Summary:
General Summary
This position for a developing data scientist who is excited to transform data into actionable insights and impact the business through his/her work. The role requires increasing technical expertise in the fields of computer programming, applied statistics and data manipulation; and relies on developing business knowledge. The individual will participate in project work primarily within the functional area, with direction and review by manager. The individual is expected to continuously increase business knowledge and take initiative in identifying and executing analytical approaches to support assigned projects.

Position will interface with actuaries on pricing, reserving, and risk.

Unum",Data Scientist,Data Scientist,"Portland, ME",3.8,$10+ billion (USD),$58K - $103K (Glassdoor est.),Insurance,5001 to 10000 Employees,Company - Public
Catalent Pharma Solutions,2007,Biotech & Pharmaceuticals,"Position Overview:
Catalent hires people with a passion to make a difference to the health of millions of people globally. Your expertise, coupled with Catalent’s advanced technologies and collaboration with thousands of innovative pharmaceutical, biotech and healthcare companies, will help bring life-enhancing products to the people you know and love. Your talents , ideas and passion are essential to our mission; to develop, manufacture and supply products that help people live better, healthier lives. Interested in learning more about life at Catalent? Start here
Analytical Scientist
The Analytical Scientist reports to the Associate Director
The Analytical Scientist is responsible for performing analytical method research and development for raw materials, in-process samples and drug products in the Quality Control Department. Analytical Scientists work on method transfer, method verification and method validation under appropriate guidance in support of clinical development and commercial manufacturing. The candidate will work closely with the product development and process transfer teams to provide analytical results and proper data interpretation for drug product development and process validation. When necessary, the Analytical Scientist will conduct routine analytical testing for raw materials, in-process samples, drug products and cleaning verification in support of commercial product manufacturing.",Data Analyst,Analytical Scientist,"Winchester, KY",3.5,$2 to $5 billion (USD),$70K - $82K (Glassdoor est.),Biotech & Pharmaceuticals,10000+ Employees,Company - Public
"Sekisui XenoTech, LLC",-1,Biotech & Pharmaceuticals,"Sekisui XenoTech, LLC is currently looking for a Scientist II or higher in our Program Oversight department. This position serves as a Study Director by providing scientific support and leadership to clients and other scientific staff in the conduct of GLP and non-GLP studies, including study and program design, utilization of technology data collection and interpretation, and study report writing. The ideal candidate will be able to handle a fast-paced, always-changing environment while maintaining excellent project management and organizational skills. Strong communication and analytical skills, along with problem solving and attention to detail are essential.
Essential duties and responsibilities include, but are not limited, to the following:
Overseeing conduct of in vitro DMPK studies in accordance with established protocols and facility SOPs
Identify and resolve issues in an efficient and effective manner.",Research Scientist,Scientist II or higher,"Kansas City, KS",3.2,$25 to $50 million (USD),$28K - $63K (Glassdoor est.),Biotech & Pharmaceuticals,51 to 200 Employees,Subsidiary or Business Segment
Battelle,1929,Research & Development,"Battelle delivers when others can’t. We conduct research and development, manage laboratories, design and manufacture products and deliver critical services for our clients—whether they are a multi-national corporation, a small start-up or a government agency.

We recognize and appreciate the value and contributions of individuals with diverse backgrounds and experiences and welcome all qualified individuals to apply.


We are currently seeking a Data Scientist I. This position is located in Columbus, OH.",Data Scientist,Data Scientist I,"Columbus, OH",3.7,$5 to $10 billion (USD),$91K - $149K (Glassdoor est.),Business Services,10000+ Employees,Nonprofit Organization
CDK Global,2014,Computer Hardware & Software,"Accelerate Your Career
Drive global technology

With more than $2 billion in revenues, CDK Global is a leading global provider of integrated information technology and digital marketing solutions to the automotive retail and adjacent industries. Focused on enabling end-to-end automotive commerce, CDK provides solutions to dealers in more than 100 countries around the world, serving approximately 28,000 retail locations and most automotive manufacturers. CDK Global solutions automate and integrate critical processes from pre-sale targeted advertising to the sale, financing, insurance, parts supply, repair and maintenance of vehicles, with an increasing focus on utilizing data analytics and predictive intelligence.",Data Scientist,Data Scientist,"Hoffman Estates, IL",3.5,$2 to $5 billion (USD),$81K - $132K (Glassdoor est.),Information Technology,5001 to 10000 Employees,Company - Public
SMA Medical Laboratory,-1,-1,"Experience and Qualifications:
· Familiarity with and experience in molecular genetics testing methodologies.
· Familiarity with databases, tools, and resources commonly used in interpretation of genomic data.
· Excellent attention to detail; strong problem solving and decision making skills.
· Ability to work on multiple assignments concurrently within established timeframes.
· Must pay great attention to detail and communicate effectively.
Key Responsibilities:",Research Scientist,Clinical Genetic Scientist,"Feasterville Trevose, PA",-1,-1,-1,-1,-1,-1
LGC Limited,,Biotech & Pharmaceuticals,"Position Summary: Seeking a highly motivated individual for employment in our Research and Development group located in Petaluma, CA. This position requires an individual with strong problem solving skills, good laboratory technique, and the ability to execute complex experiments. The successful candidate will have a desire to learn and the strong attention to detail. This position will entail the synthetic chemistry of a range of compounds including developing new reagents for the synthesis, modification and capture of oligonucleotides. Additional tasks may include running automated oligonucleotide synthesizers as well as molecular biology laboratory work to support new product development.
Areas of Responsibility:
This position requires a driven individual to work closely with members of the research and development group to assist in the preparation and evaluation of novel solid supports, phosphoramidites, fluorescent dyes and/or linkers to enable new approaches to biology research. This is a hands-on research position.",Research Scientist,"Associate Scientist, R","Petaluma, CA",3.5,Unknown / Non-Applicable,$35K - $81K (Glassdoor est.),Biotech & Pharmaceuticals,1001 to 5000 Employees,
Uline,,-1,"Supply Chain Data Analyst
Corporate Headquarters
12575 Uline Drive, Pleasant Prairie, WI 53158

Driven by Speed, Passion and Operational Excellence, Uline’s Distribution Operations team supports our fulfillment operations across North America to be the leading distributor of shipping, packaging and industrial supplies!

Better together than apart. This position is on-site, and we are looking for good people who share our passion.

Uline is proud to operate as a drug-free workplace. All new hires must complete a pre-employment drug screening.",Data Analyst,Supply Chain Data Analyst (South of Milwaukee),"Milwaukee, WI",3.6,Unknown / Non-Applicable,$65K - $79K (Employer est.),-1,5001 to 10000 Employees,Company - Private
Comcast,1963,Telecommunications Services,"Job Summary Comcast Applied AI Research is an innovative research group within Comcast’s Technology & Product organization with offices in DC, Philadelphia, Denver, Chicago and Silicon Valley that engages in groundbreaking research to reinvent the customer experience for Comcast’s 22+ Million consumers using AI and machine learning! To learn more about the team visit - https://jobs.comcast.com/ml-ai-team-page.

Responsible for identifying complex problems and developing and deploying novel prototypes and algorithms to solve them. Improves accuracy and functionality of algorithms and understands the overall implications of the entire machine learning frameworks. Translates application requirements into problem statements. Analyzes and evaluates solutions both internally generated as well as third party supplied. Develops novel ways to solve problems and discover new products. Provide guidance and leadership to more junior researchers. Integrates knowledge of business and functional priorities. Acts as a key contributor in a complex and crucial environment. May lead teams or projects and shares expertise.
Job Description

In the Personalization team, we work on cutting-edge research in AI and machine learning to re-invent the customer experience. Using the large amounts of data available to us, we build machine learning models that can help our customers find the content they love. Our team is responsible for building machine learning models for recommendation, personalization, and ranking.
As a key member of our team, you will be using your expertise in Machine Learning to tackle exciting problems such as: addressing fairness and bias in recommendation systems, using reinforcement learning to optimize long-term engagement metrics, using transformer models in recommendation systems, building multimodal models, etc.
A successful candidate will have extensive experience in building novel machine learning models and algorithms as part of PhD research experience or previous work experience as a machine learning researcher. Experience with one of the machine learning libraries such as TensorFlow or Pytorch is also required.


Participates in groundbreaking research that has an impact on our products and customers.

Applies machine learning expertise to train models, validates the accuracy of those models, and deploys the validated models into production.

Contributes to the company by creating patents, Application Programming Interfaces (APIs) and other intellectual property.

Publishing scientific papers and giving external talks is highly encouraged.

Guides the successful completion of programs that identify patterns and make decisions with minimal human intervention. Determines the technical objectives of an assignment. Leads the design of prototypes, partnering with the product team and other stakeholders through development. Conducts studies to support product or application development.

Designs and implements end-to-end solutions using optimization and other advanced computer science technologies and owns live deployments. Aggregates huge amounts of data and information from large numbers of sources to discover patterns and features necessary to automate analytical models.

Researches, writes and edits documentation and technical requirements, including evaluation plans, confluence pages, white papers, presentations, test results, technical manuals, formal recommendations and reports. Contributes to the company by creating patents, Application Programming Interfaces (APIs) and other intellectual property.

Presents papers and/or attends conferences, as well as displaying leadership in these areas.

Tests and evaluates solutions presented to the Company by various internal and external partners and vendors. Completes case studies, testing and reporting.

Collaborates with teams outside of immediate work group. Represents the work team in providing solutions to technical issues associated with assigned projects.

Mentor a diverse team of junior engineers in machine learning techniques, tools and concepts. Provides guidance and leadership to more junior engineers.

Consistent exercise of independent judgment and discretion in matters of significance.

Regular, consistent and punctual attendance.

Other duties and responsibilities as assigned.


Understand our Operating Principles; make them the guidelines for how you do your job.

Own the customer experience - think and act in ways that put our customers first, give them seamless digital options at every touchpoint, and make them promoters of our products and services.

Know your stuff - be enthusiastic learners, users and advocates of our game-changing technology, products and services, especially our digital tools and experiences.

Win as a team - make big things happen by working together and being open to new ideas.

Be an active part of the Net Promoter System - a way of working that brings more employee and customer feedback into the company - by joining huddles, making call backs and helping us elevate opportunities to do better for our customers.

Drive results and growth.

Respect and promote inclusion & diversity.

Do what's right for each other, our customers, investors and our communities.


Bachelor’s Degree

Computer Science, Engineering, Applied Mathematics, or Statistics

Generally requires 7-11 years related experience.


PhD/MS in Computer Science, Computer Engineering or related technical field.

Extensive background in machine learning.

Experience with recommendation systems is a plus, but not required.

Strong coding and software development skills.

Experience with at least one of the Deep Learning frameworks such as TensorFlow or PyTorch is preferred.


This information has been designed to indicate the general nature and level of work performed by employees in this role. It is not designed to contain or be interpreted as a comprehensive inventory of all duties, responsibilities and qualifications.

Comcast is an EOE/Veterans/Disabled/LGBT employer.

Education
Bachelor's Degree
Relevant Work Experience
7-10 Years
Base pay is one part of the Total Rewards that Comcast provides to compensate and recognize employees for their work. Most sales positions are eligible for a Commission under the terms of an applicable plan, while most non-sales positions are eligible for a Bonus. Additionally, Comcast provides best-in-class Benefits. We believe that benefits should connect you to the support you need when it matters most, and should help you care for those who matter most. That’s why we provide an array of options, expert guidance and always-on tools, that are personalized to meet the needs of your reality – to help support you physically, financially and emotionally through the big milestones and in your everyday life. Please visit the compensation and benefits summary on our careers site for more details.",Machine Learning Engineer,Machine Learning Engineer,"Washington, DC",3.9,$10+ billion (USD),$63K - $115K (Glassdoor est.),Telecommunications,10000+ Employees,Company - Public
"Clutch Holdings, LLC",-1,-1,"About Clutch:
Clutch is a cutting edge technology company providing CDP, Loyalty, & Stored Value services to merchants across the world. Our teams build tools to automate the merchant’s customer life cycle; starting with the transaction engine & ending with extraordinary program analytics, marketing consultation & communication via Email, Direct Mail & Mobile.
Description:
Clutch is looking for an experienced & highly talented Data Engineer to join our growing company. In this role you will work closely with our data science, engineering, product, and business teams to architect & implement data manipulation, transformation & aggregation technologies as well as optimize existing data engineering capabilities throughout the Clutch ecosystem.",Data Engineer,Data Engineer,"Ambler, PA",-1,-1,-1,-1,-1,-1
Pennsylvania Higher Education Assistance Agency,1963,Lending,"PHEAA is a nonprofit student aid organization that holds a mission of providing affordable access to higher education.

Give back tomorrow by joining us today!

The Lead Data Analyst is responsible for the support, administration, and development of data across the enterprise. This position is responsible for ensuring data quality and maintaining standards to ensure consistency. Additionally, this role works closely with leaders across the organization to improve the quality of data.









Required Skills

Required Experience",Data Analyst,Lead Data Analyst,"Harrisburg, PA",3.1,$500 million to $1 billion (USD),$48K - $82K (Glassdoor est.),Finance,1001 to 5000 Employees,Nonprofit Organization
Elder Research Inc,1995,Consulting,"Work Location is Fort Meade, MD
Elder Research Inc. is a recognized leader in predictive analytics and data mining. We pride ourselves in our ability to find creative, cutting edge solutions to real-world problems. We are looking for innovative and inquisitive self-starters who enjoy translating complex models into actionable solutions that deliver real value for our clients. We have multiple openings in the Baltimore-Washington Metropolitan area for cleared analytics and data science professionals at varying skill levels to support our Defense & Intelligence business
As a Data Scientist, you will work directly with clients, managers and technical staff to understand business needs, develop technical plans, and deliver data-driven analytical solutions that solve client problems. You will primarily create and deploy predictive models from a wide variety of data sources and types using the latest mathematical and statistical methods.",Data Scientist,Data Scientist - Defense & Intelligence,"Fort Meade, MD",4.2,$5 to $10 million (USD),$72K - $116K (Glassdoor est.),Business Services,51 to 200 Employees,Company - Private
Amneal Pharmaceuticals,2002,Biotech & Pharmaceuticals,"The Scientist 3 - QC is responsible to perform testing of raw materials, in-process and finished pharmaceutical dosage forms, products on stability, cleaning verification samples following written procedures and applicable SOPs, calculate and report results on applicable specification documents, participate in method transfer activities within departments or between facilities or organizations. This role will also provide feedback on systems and analytical procedures to promote continuous improvement and enhancement of compliance posture.

Essential Functions:
Perform physical and chemical analysis of raw materials, in-process, and finished pharmaceutical products, including products on stability, according to written methods, material specification, and company policies as identified in standard operating procedures (SOPs). Comply with cGMps, SOPs, and STPs to avoid out-of-specification situation. Assure compliance with state and federal regulations.",Qc Analyst,"Scientist III, Quality Control - 2nd Shift","Brookhaven, NY",3.5,$1 to $2 billion (USD),$33K - $50K (Glassdoor est.),Biotech & Pharmaceuticals,5001 to 10000 Employees,Company - Public
Johns Hopkins Applied Physics Laboratory (APL),1942,Aerospace & Defense,"Do you love to invent new materials to tackle unique problems?Are you searching for meaningful work targeted toward having an impact in the defense, energy, space, and other extreme environment-related fields?Are you passionate about advancing the latest science as part of a team of outstanding scientists and engineers?Do you like contributing to innovative solutions in a collaborative environment?If so, we are looking for someone like you to join our team at APL.We are seeking a researcher to help us understand material behavior in extreme environments and develop innovative materials (e.g. shape memory alloys, metal matrix composites, refractory materials), advanced coatings (ceramic and refractory), and novel structures (e.g. lattices and topology optimized structures) that can survive in extreme environments (e.g. high strain rate, heat flux, and radiation). You will apply your strong background in materials science and modeling to generate solutions for the government's challenge problems. With expertise in structure-property-processing relationships and materials manufacturing, you will develop unique, multi-functional structures that exhibit dramatic increases in performance metrics. You will have the opportunity to propose your own research concepts and drive the strategy for the future. As a member of our team, you will contribute to unique materials research projects with defense and security applications such as materials for extreme environments, soldier protection, new types of coatings, advanced batteries, and corrosion resistant material research. You will be joining a hardworking team of engineers and scientists that is committed to developing advanced materials. Our team is passionate about applying these material solutions to advanced prototypes that will define the future. We strive to foster a collaborative environment with world-class expertise that achieves game-changing impact. Our APL team values integrity and innovative ideas that will ensure our nation's preeminence in the 21st century.As a researcher...
You meet our minimum qualifications for the job if you...
The Johns Hopkins University Applied Physics Laboratory (APL) brings world-class expertise to our nation's most critical defense, security, space and science challenges. While we are dedicated to solving complex challenges and pioneering new technologies, what makes us truly outstanding is our culture. We offer a vibrant, welcoming atmosphere where you can bring your authentic self to work, continue to grow, and build strong connections with inspiring teammates. At APL, we celebrate our differences and encourage creativity and bold, new ideas. Our employees enjoy generous benefits, including a robust education assistance program, unparalleled retirement contributions, and a healthy work/life balance. APL's campus is located in the Baltimore-Washington metro area. Learn more about our career opportunities at http://www.jhuapl.edu/careers.",Research Scientist,Modeling & Experimental Research Scientist for Materials in Extreme Environments,"Laurel, MD",4.7,$1 to $2 billion (USD),$71K - $145K (Glassdoor est.),Aerospace & Defense,5001 to 10000 Employees,Nonprofit Organization
Mapp Biopharmaceutical,-1,-1,"Scientist I - Cell Line Development
Job #21-08A
Mapp Biopharmaceutical, Inc. ""Mapp"" is a San Diego based, innovative biopharmaceutical company focused on addressing unmet medical needs through the development of life-saving monoclonal antibody treatment options to combat a variety of neglected and tropical infectious diseases, and in support of biodefense programs.
The Early Research and Development Group (ER&DG) and the Advanced Research and Development Group (AR&DG) at Mapp Biopharmaceutical are responsible for the execution of high quality Research and Development activities to ensure the achievement of robust portfolio with the CMC, Preclinical/Nonclinical (together, ""Nonclinical""), Regulatory and Clinical development goals consistent with the product development objectives of Mapp.",Research Scientist,Scientist I - Cell Line Development,"San Diego, CA",-1,-1,-1,-1,-1,-1
Shelter Insurance,1946,Insurance Carriers,"A company built to serve you. It's your career, Shelter it!
The Data Analyst produces recurring and ad hoc reports using a variety of querying tools. Works closely with business partners and Information Services to identify appropriate data sources, providing ad-hoc reports and operations analysis of large data sets for making business decisions. Learns and implements new tools including data analytic and visualization software products. Serves as a liaison between business partners and Information Services as needed with regard to project management, reporting inquiries, and piloting new systems. Ability to perform the essential functions of the position with or without a reasonable accommodation.

Minimum starting salary: $43,735.00 - $63,677.00
If interested, please apply by:
04/10/2021",Data Analyst,Life Data Analyst,"Columbia, MO",4.4,$1 to $2 billion (USD),$38K - $69K (Glassdoor est.),Insurance,1001 to 5000 Employees,Company - Private
Arcellx,-1,-1,"Arcellx (http://www.arcellx.com/) is a venture-backed, early-stage biotech company focused on the development of novel cell-based cancer therapies. The company is located in Gaithersburg, Maryland and has assembled a team of biotechnology professionals with expertise in biologics discovery, characterization, and development. Lead products will incorporate proprietary technologies that enhance tumor-specific killing by genetically engineered human immune cells.
Primary Objective
The Senior Scientist position is open to highly motivated and innovative candidates with a Ph.D. degree, a successful post-doctoral fellowship and 7+ years of experience working in the biotechnology or pharmaceutical industry setting. The incumbent will be part of the Biomarker and Bioanalysis Group within Translational Sciences responsible for biomarker strategies for clinical trials.",Research Scientist,Senior Scientist – Bioanalytical and Pharmacokinetics,"Gaithersburg, MD",-1,-1,-1,-1,-1,-1
Uline,1980,-1,"Marketing Analytics Manager
Corporate Headquarters
12575 Uline Drive, Pleasant Prairie, WI 53158

Our customer promise is worth bragging about. Use your marketing and advertising expertise to spread the word and grow our business.

Better together than apart. This position is on-site, and we are looking for good people who share our passion.

Uline is proud to operate as a drug-free workplace. All new hires must complete a pre-employment drug screening.

Position Responsibilities













#LI-SR1
#CORP",Marketing Manager,Marketing Analytics Manager (South of Milwaukee),"Milwaukee, WI",3.6,Unknown / Non-Applicable,$47K - $93K (Glassdoor est.),-1,5001 to 10000 Employees,Company - Private
Amobee,2005,Advertising & Marketing,"Are you a talented and passionate engineer? Do you love solving problems and making ideas come to life? Are you a lifelong learner who thrives in dynamic environments and enjoys the challenge of learning new technologies and techniques? Are you a team player and enjoy collaboration, but you are also self-directed and enjoy the autonomy to be able to manage your own schedule and workload? Do you appreciate the importance of good communication and know that teamwork takes practice, effort and a good attitude? If so, we want to speak with you.

The Data Scientist is responsible for collaborating with the team to design and implement systems that focus on forecasting, allocating, delivering, and reporting of advertising on the internet, TV, and connected devices. The successful candidate will utilize advanced mathematical, optimization, machine-learning, software engineering, and programming skills to solve challenging problems.
Responsibilities:",Data Scientist,Data Scientist,"Baltimore, MD",3.8,$500 million to $1 billion (USD),$80K - $139K (Glassdoor est.),Business Services,501 to 1000 Employees,Company - Private
Memorial Health,1897,Health Care Services & Hospitals,"Overview
Positions available on first, second and third shift
$10k sign on bonus available. Relocation packages available.
As a Medical Laboratory Scientist with Decatur Memorial Hospital (DMH), you would work in multiple departments to help you grow and maintain your skills in all areas. This position is a generalist role offering a variety of work.

Medical Laboratory Scientists with DMH are team oriented problem solvers. Whether it is investigating a problem or trouble shooting on instrumentation and computer systems, your ability to solve issues as they arise is desired in this position.

The successful Medical Laboratory Scientist at DMH loves to investigate issues as they arise, can think on his or her feet, and is incredibly detail oriented. This person is able to work independently and properly prioritize his or her work.

Memorial team members are continually learning and pursuing innovative ideas to provide our patients with the best care possible. Join us in our mission to improve the lives of the people and communities we serve, and apply today!


Located in the heart of Central Illinois, Decatur Memorial Hospital is a licensed and fully accredited 300-bed facility that offers a wide range of general and specialized diagnostic, surgical and treatment services. DMH encompasses 12 state-of-the-art Centers of Excellence which focus on proven quality healthcare. DMH offers a full range of comprehensive acute inpatient, surgical and outpatient, care including centers of excellence such as-





To perform this job successfully, an individual must be able to perform each essential duty satisfactorily. The requirements listed below are representative of the knowledge, skill, and/or ability required.



One of the following active certifications is required:
New graduates will have 6 months to obtain certification.


Frequent to continuous exposure to unpleasant/irritating substances. Exposure to hazardous and/or potentially injurious elements or conditions is considerable.


The physical demands described are representative of those that must be met by an employee to successfully perform the essential functions of this job.",Medical Laboratory Scientist,Medical Laboratory Scientist,"Decatur, IL",3.8,$50 to $100 million (USD),$19 - $27 Per Hour(Glassdoor est.),Health Care,1001 to 5000 Employees,Hospital
MedGenome,-1,-1,"NGS Scientist
MedGenome, Inc. is looking for an outstanding scientist. The scientist must have a passion for innovating new applications that use Next Generation Sequencing technologies. The scientist must be able to learn quickly, creatively solve problems, and communicate effectively. The ideal candidate will have a PhD or equivalent depth of knowledge and experience in molecular biology or genetics, especially as applied to NGS applications in Immunology and cancer.
Key Responsibilities:
Work with early access customers to test new products and applications; develop and run internal product validation efforts
Deliver on commercial projects on newly validated NGS assays",Research Scientist,NGS Scientist,"Foster City, CA",3.4,Less than $1 million (USD),-1,-1,51 to 200 Employees,Company - Private
Ascension,1999,Health Care Services & Hospitals,"We Are Hiring:
Medical Lab Scientist- Ascension Sacred Heart Bay Medical- Panama City, FL

Shift: Full Time Evenings

$7500 sign on bonus available!
What You Will Do:
Perform routine diagnostic and analytic testing of laboratory specimens independently.

Perform, validate, interpret, document and report laboratory test results.
May collect and process specimens.
Perform instrument maintenance and troubleshooting.
What You Will Need:
Why Join Our Team:


Equal Employment Opportunity Employer:








E-Verify Statement:",Medical Laboratory Scientist,Medical Lab Scientist (MLS),"Panama City, FL",3.5,$100 to $500 million (USD),$20 - $27 Per Hour(Glassdoor est.),Health Care,10000+ Employees,Nonprofit Organization
Specific Diagnostics,-1,-1,"The Company
The world is facing a medical crisis, bacteria are increasingly evolving resistance to even our strongest antibiotics. The problem is already very real and immediate; for example, bloodstream infection leading to sepsis is now responsible for more than half of all deaths in hospitals and is the most expensive condition treated in hospitals. Sepsis mortality rate increases >6% every hour without effective antibiotic treatment. Yet, despite the life and death urgency, and healthcare cost impacts, current methodologies require 3 days to determine the correct antibiotic.
Specific Diagnostics has developed a breakthrough solution to rapidly determine the effective antibiotic treatment for bloodstream and other acute infections. Used for bloodstream infection Specific’s solution provides results 2 days sooner than existing methods, saving patients suffering from drug-resistant infection.
We have been funded by nearly $30 M in non-dilutive government sponsored research support and recently $17.5 M in venture capital. This is an opportunity to join us at an inflection point in our commercial growth as we bring our first key product to market and with recognition from major customers fueling an expansion of our staff.",Data Scientist,"Data Scientist, Medical Diagnostics","Mountain View, CA",3.5,Less than $1 million (USD),-1,-1,1 to 50 Employees,Company - Private
"RDR, INC.",1986,IT Services,"Job Description:
Responsibilities: Perform system data integration/ engineering; studies; process mapping and automation; and must be adept at wrangling unstructured and poorly structured data into appropriate data structures. Provide JSOC J8 with the ability to develop data architectures that improve automation, processes, data flow and analyses. Serve to enhance the J8 Research and Analysis Division’s capability to formulate overall scope, establish objectives, formulate methodologies, and coordinate fusion of data science, data architecture, data visualization, and data management.
Job Requirements:
Education: BS degree or above preferred in Mathematics, Data Analytics, Statistics, Operations Research, computer science, Systems or Industrial Engineering.
Experience/Skills/Abilities:
At least two years of experience working as a Systems Integrator, Data Engineer, or similar position demonstrating the ability to design and implement automation, data modeling, data wrangling, data analysis, and data vision solutions to complex problems, processes, and scenarios. Familiarity with common data structures and languages, e.g., SQL, JSON, Elastic Search.
Experience working with SOF, interagency working groups, national agencies, DOD agencies, combatant commands or academic organizations; experience with cloud computing, distributed data systems, and no-host application technologies and disciplines.
Proficient: Python, R, SQL, and MS Office
Basic familiarity / additional competencies: HTTP, HTML, JS, CSS, VBA, SharePoint, Visio and MS Power BI
Contractor can expect to work 80% from home station and up to 20% OCONUS",Data Engineer,Data Integrator/Data Engineer,"Fort Bragg, NC",4.0,$10 to $25 million (USD),-1,Information Technology,51 to 200 Employees,Company - Private
